name,business_type,black_owned,ratings,chill_score,activity_type,weekend_only,business_url,social_media.instagram,social_media.twitter,social_media.facebook,social_media.other,location.location,location.address,location.metro,location.state,location.longitude,location.latitude
savorite's southern cuisine ,RESTAURANTS / food trucks / catering,True,,,,False,,https://www.instagram.com/savorite_tx/,,,https://www.instagram.com/savorite_tx/,Plano,,DFW,Texas,,
shark's fish and chicken ,RESTAURANTS / food trucks / catering,True,,,,False,,https://www.instagram.com/sharksfishandchicken/,,,https://www.instagram.com/sharksfishandchicken/,Lake Highlands,,DFW,Texas,,
sheba's ethiopian kitchen ,RESTAURANTS / food trucks / catering,True,,,,False,,,,https://www.facebook.com/Shebas-Ethiopian-Kitchen-238012822910728/,https://www.facebook.com/Shebas-Ethiopian-Kitchen-238012822910728/,North Dallas,,DFW,Texas,,
shebelle ethiopian cuisine & bar ,RESTAURANTS / food trucks / catering,True,,,,False,,,,https://www.facebook.com/shebelledallas/,https://www.facebook.com/shebelledallas/,Richardson,,DFW,Texas,,
shells and tails 2 geaux ,RESTAURANTS / food trucks / catering,True,,,,False,,https://www.instagram.com/shellsandtails2geaux/?hl=en,,,https://www.instagram.com/shellsandtails2geaux/?hl=en,DeSoto,,DFW,Texas,,
sirg wings-n-more ,RESTAURANTS / food trucks / catering,True,,,,False,,https://www.instagram.com/sirgwingsnmore/?hl=en,,,https://www.instagram.com/sirgwingsnmore/?hl=en,DeSoto,,DFW,Texas,,
skew u ,RESTAURANTS / food trucks / catering,True,,,,False,,,,,https://www.yelp.com/biz/skew-u-cedar-hill-3,Dallas (food truck),,DFW,Texas,,
smoke-a-holics ,RESTAURANTS / food trucks / catering,True,,,,False,,https://www.instagram.com/smokeaholicsbbq/,,,https://www.instagram.com/smokeaholicsbbq/,Fort Worth,,DFW,Texas,,
smokey d'z bbq ,RESTAURANTS / food trucks / catering,True,,,,False,,https://www.instagram.com/smkydzbbq/,,,https://www.instagram.com/smkydzbbq/,Duncanville,,DFW,Texas,,
smokey john's bar-b-que and home cooking,RESTAURANTS / food trucks / catering,True,,,,False,,https://www.instagram.com/smokeyjohnsbbq/,,,https://www.instagram.com/smokeyjohnsbbq/,Northwest Dallas,,DFW,Texas,,
snappy catfish ,RESTAURANTS / food trucks / catering,True,,,,False,,https://www.instagram.com/snappyjefferson/?hl=en,,,https://www.instagram.com/snappyjefferson/?hl=en,West Dallas,,DFW,Texas,,
southern classic daiquiri factory ,RESTAURANTS / food trucks / catering,True,,,,False,,https://www.instagram.com/daiquirifactory/?hl=en,,,https://www.instagram.com/daiquirifactory/?hl=en,"Bryan Place, Fort Worth",,DFW,Texas,,
south dallas cafe ,RESTAURANTS / food trucks / catering,True,,,,False,,https://www.instagram.com/southdallascaferedbird/,,,https://www.instagram.com/southdallascaferedbird/,South Oak Cliff,,DFW,Texas,,
soutHERN GOURMET KITCHEN ,RESTAURANTS / food trucks / catering,True,,,,False,,,,,https://southerngourmetkitchens.com/,Plano,,DFW,Texas,,
SOUTHSIDE STEAKS & CAKES,RESTAURANTS / food trucks / catering,True,,,,False,,,,,https://www.southsidesteaksandcakes.com/,South Dallas,,DFW,Texas,,
sweet georgia brown ,RESTAURANTS / food trucks / catering,True,,,,False,,https://www.instagram.com/sweetgeorgiabrown_homecooking/,,,https://www.instagram.com/sweetgeorgiabrown_homecooking/,South Dallas,,DFW,Texas,,
tasty's chicken ,RESTAURANTS / food trucks / catering,True,,,,False,,https://www.instagram.com/tastyschickentx/,,,https://www.instagram.com/tastyschickentx/,Plano,,DFW,Texas,,
ten 01 bistro ,RESTAURANTS / food trucks / catering,True,,,,False,,https://www.instagram.com/ten01uptown/,,,https://www.instagram.com/ten01uptown/,Uptown,,DFW,Texas,,
the breakfast bar ,RESTAURANTS / food trucks / catering,True,,,,False,,,,,https://www.yelp.com/biz/the-breakfast-bar-dallas-3,South Dallas,,DFW,Texas,,
the coaches box ,RESTAURANTS / food trucks / catering,True,,,,False,,https://www.instagram.com/thecoachesbox/,,,https://www.instagram.com/thecoachesbox/,Duncanville,,DFW,Texas,,
the roux ,RESTAURANTS / food trucks / catering,True,,,,False,,https://www.instagram.com/dipintotheroux4u/,,,https://www.instagram.com/dipintotheroux4u/,Arlington,,DFW,Texas,,
the stuffed potato kitchen,RESTAURANTS / food trucks / catering,True,,,,False,,https://www.instagram.com/thestuffedpotatokitchen/,,,https://www.instagram.com/thestuffedpotatokitchen/,South Dallas,,DFW,Texas,,
thibodeaux's authentic cajun cooking ,RESTAURANTS / food trucks / catering,True,,,,False,,https://www.instagram.com/thibodeauxscajuncookin/,,,https://www.instagram.com/thibodeauxscajuncookin/,Duncanville,,DFW,Texas,,
tj's catfish & wings ,RESTAURANTS / food trucks / catering,True,,,,False,,https://www.instagram.com/tjscatfishandwings/,,,https://www.instagram.com/tjscatfishandwings/,Arlington,,DFW,Texas,,
true kitchen + kocktails ,RESTAURANTS / food trucks / catering,True,,,,False,,https://www.instagram.com/kitchenkocktailsdallas/?hl=en,,,https://www.instagram.com/kitchenkocktailsdallas/?hl=en,Downtown Dallas,,DFW,Texas,,
tu bones bbq ,RESTAURANTS / food trucks / catering,True,,,,False,,https://www.instagram.com/tubonesbbq/,,,https://www.instagram.com/tubonesbbq/,Frisco,,DFW,Texas,,
turkey d.a.m ,RESTAURANTS / food trucks / catering,True,,,,False,,https://www.instagram.com/turkeyd.a.m/,,,https://www.instagram.com/turkeyd.a.m/,Uptown ,,DFW,Texas,,
turkey leg paradise ,RESTAURANTS / food trucks / catering,True,,,,False,,https://www.instagram.com/turkeylegparadise/,,,https://www.instagram.com/turkeylegparadise/,Cedars,,DFW,Texas,,
tx bbq and burgers ,RESTAURANTS / food trucks / catering,True,,,,False,,,,https://www.facebook.com/TXBBQSMOKED/,https://www.facebook.com/TXBBQSMOKED/,Northwest Dallas,,DFW,Texas,,
two podners ,RESTAURANTS / food trucks / catering,True,,,,False,,https://www.instagram.com/twopodners/?hl=en,,,https://www.instagram.com/twopodners/?hl=en,Fair Park,,DFW,Texas,,
vegan food house ,RESTAURANTS / food trucks / catering,True,,,,False,,https://www.instagram.com/houseofveganfood/?hl=en,,,https://www.instagram.com/houseofveganfood/?hl=en,Oak Cliff,,DFW,Texas,,
vegan vibrationz ,RESTAURANTS / food trucks / catering,True,,,,False,,https://www.instagram.com/veganvibrationz/,,,https://www.instagram.com/veganvibrationz/,Dallas Farmers Market,,DFW,Texas,,
WEST JAX CIGARS & SPIRITS ,RESTAURANTS / food trucks / catering,True,,,,False,,,,,http://westjaxcigars.com/,Fort Worth,,DFW,Texas,,
wingfield's burgers ,RESTAURANTS / food trucks / catering,True,,,,False,,https://www.instagram.com/wingfields/,,,https://www.instagram.com/wingfields/,Oak Cliff,,DFW,Texas,,
wings world ,RESTAURANTS / food trucks / catering,True,,,,False,,https://www.instagram.com/thewingsworld/,,,https://www.instagram.com/thewingsworld/,Oak Cliff,,DFW,Texas,,
yenat guada ,RESTAURANTS / food trucks / catering,True,,,,False,,https://www.instagram.com/yenat_guada/,,,https://www.instagram.com/yenat_guada/,Lake Highlands,,DFW,Texas,,
v-eats ,RESTAURANTS / food trucks / catering,True,,,,False,,https://www.instagram.com/veatsdallas/,,,https://www.instagram.com/veatsdallas/,West Dallas,,DFW,Texas,,
whiskers fish & burgers ,RESTAURANTS / food trucks / catering,True,,,,False,,https://www.instagram.com/whiskersfishburgers/,,,https://www.instagram.com/whiskersfishburgers/,West Dallas,,DFW,Texas,,
